"Group_Name","Group_ID","Twin_Group_ID","Code_Section","Group_Size","Total_Nucleons","Protons","Neutrons","Delta_P_N"
"ALL: {C, G, A, T}",1,"","All code",64,7992,4292,3700,592
"Keto: {G, T}",2,3,"All code",32,3996,2146,1850,296
"Strong: {C, G}",3,2,"All code",32,3996,2146,1850,296
"Amino: {A, C}",4,5,"All code",32,3996,2146,1850,296
"Weak: {A, T}",5,4,"All code",32,3996,2146,1850,296
"Purine: {A, G}",6,"","All code",32,3896,2096,1800,296
"Pyrimidine: {C, T}",7,"","All code",32,4096,2196,1900,296
"{C}",8,"","All code",16,2048,1098,950,148
"{G}",9,"","All code",16,1948,1048,900,148
"{T}",10,"","All code",16,2048,1098,950,148
"{A}",11,"","All code",16,1948,1048,900,148
"Octet I: {C, G, A, T}",12,"","Octet I",32,3700,2000,1700,300
"{G, T}",13,14,"Octet I",16,1850,1000,850,150
"{C, G}",14,13,"Octet I",16,1850,1000,850,150
"{A, C}",15,16,"Octet I",16,1850,1000,850,150
"{A, T}",16,15,"Octet I",16,1850,1000,850,150
"{A, G}",17,"","Octet I",16,1850,1000,850,150
"{C, T}",18,"","Octet I",16,1850,1000,850,150
"{C}",19,"","Octet I",8,925,500,425,75
"{G}",20,"","Octet I",8,925,500,425,75
"{T}",21,"","Octet I",8,925,500,425,75
"{A}",22,"","Octet I",8,925,500,425,75
"Octet II: {C, G, A, T}",23,"","Octet II",32,4292,2292,2000,292
"{G, T}",24,25,"Octet II",16,2146,1146,1000,146
"{C, G}",25,24,"Octet II",16,2146,1146,1000,146
"{A, C}",26,27,"Octet II",16,2146,1146,1000,146
"{A, T}",27,26,"Octet II",16,2146,1146,1000,146
"{A, G}",28,"","Octet II",16,2046,1096,950,146
"{C, T}",29,"","Octet II",16,2246,1196,1050,146
"{C}",30,"","Octet II",8,1123,598,525,73
"{G}",31,"","Octet II",8,1023,548,475,73
"{T}",32,"","Octet II",8,1123,598,525,73
"{A}",33,"","Octet II",8,1023,548,475,73
